,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym
255,AA0217,10.25378/janelia.5527561,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0217.swc,1097.0,HY,,1097.0,HY
256,AA0649,10.25378/janelia.7658141,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0649.swc,648.0,MOp5,,648.0,MOp5
257,AA1011,10.25378/janelia.7822013,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1011.swc,1007.0,SIM,,1007.0,SIM
258,AA0173,10.25378/janelia.5527420,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0173.swc,1084.0,PRE,,1084.0,PRE
259,AA0435,10.25378/janelia.7614305,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0435.swc,351.0,BST,,351.0,BST
260,AA0321,10.25378/janelia.7613471,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/5 Cre + GFP,eGFP,AA0321.swc,629.0,VAL,,629.0,VAL
261,AA0372,10.25378/janelia.7613927,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0372.swc,907.0,PCN,,907.0,PCN
262,AA0363,10.25378/janelia.7613897,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0363.swc,362.0,MD,,362.0,MD
263,AA0602,10.25378/janelia.7650038,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0602.swc,1021.0,MOs6a,6a,993.0,MOs
264,AA0919,10.25378/janelia.7780907,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0919.swc,252.0,AUDd5,5,1011.0,AUDd
265,AA1481,n/a,2020-04-15T04:00:00.000Z,Vgat-Cre,syn-FLEX-TRE-2tTA;TREx7-GFP,GFP ; AF488,AA1481.swc,767.0,MOs5,5,993.0,MOs
266,AA0136,10.25378/janelia.5527282,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0136.swc,685.0,VM,,685.0,VM
267,AA0309,10.25378/janelia.7613408,2017-08-28T17:55:51.000Z,C57BL/6J,AAV2/1 Cre+GFP,eGFP,AA0309.swc,10703.0,DG-mo,,10703.0,DG-mo
268,AA0572,10.25378/janelia.7649834,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0572.swc,10703.0,DG-mo,,10703.0,DG-mo
269,AA1432,n/a,2019-12-25T05:00:00.000Z,HSD2-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488;  tdTomato; AF546,AA1432.swc,189.0,RH,,189.0,RH
270,AA0240,10.25378/janelia.5527642,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0240.swc,1021.0,MOs6a,6a,993.0,MOs
271,AA0847,10.25378/janelia.7739930,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0847.swc,502.0,SUB,,502.0,SUB
272,AA0857,10.25378/janelia.7740011,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0857.swc,305.0,VISp6b,6b,385.0,VISp
273,AA0026,10.25378/janelia.5521660,2017-01-15T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0026.swc,1037.0,POST,,1037.0,POST
274,AA0408,10.25378/janelia.7614173,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0408.swc,1021.0,MOs6a,6a,993.0,MOs
275,AA0893,10.25378/janelia.7780778,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0893.swc,919.0,ACAd6a,6a,39.0,ACAd
276,AA0985,10.25378/janelia.7804544,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0985.swc,968.0,NOD,,968.0,NOD
277,AA0773,10.25378/janelia.7710113,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0773.swc,767.0,MOs5,5,993.0,MOs
278,AA0928,10.25378/janelia.7803788,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0928.swc,327.0,BMAa,,327.0,BMAa
279,AA0544,10.25378/janelia.7640171,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0544.swc,1021.0,MOs6a,6a,993.0,MOs
280,AA0668,10.25378/janelia.7658261,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0668.swc,767.0,MOs5,5,993.0,MOs
281,AA0053,10.25378/janelia.5521762,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0053.swc,1037.0,POST,,1037.0,POST
282,AA0147,10.25378/janelia.5527324,2017-02-22T22:37:17.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP;,AA0147.swc,632.0,DG-sg,,632.0,DG-sg
283,AA0584,10.25378/janelia.7649918,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0584.swc,943.0,MOp2/3,,943.0,MOp2/3
284,AA0115,10.25378/janelia.5526724,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0115.swc,767.0,MOs5,5,993.0,MOs
285,AA0066,10.25378/janelia.5521807,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0066.swc,1015.0,ACAd5,5,39.0,ACAd
286,AA0262,10.25378/janelia.5527720,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0262.swc,971.0,fp,,971.0,fp
287,AA1122,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1122.swc,484682520.0,or,,484682520.0,or
288,AA1038,10.25378/janelia.7822274,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1038.swc,771.0,P,,771.0,P
289,AA1290,n/a,2019-05-27T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488,AA1290.swc,262.0,RT,,262.0,RT
290,AA0472,10.25378/janelia.7615958,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0472.swc,656.0,MOs1,1,993.0,MOs
291,AA0568,10.25378/janelia.7649822,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0568.swc,10703.0,DG-mo,,10703.0,DG-mo
292,AA0883,10.25378/janelia.7742786,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0883.swc,1015.0,ACAd5,5,39.0,ACAd
293,AA0842,10.25378/janelia.7739915,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0842.swc,767.0,MOs5,5,993.0,MOs
294,AA0347,10.25378/janelia.7613795,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0347.swc,629.0,VAL,,629.0,VAL
295,AA0301,10.25378/janelia.5542579,2017-08-10T19:05:24.000Z,Rorb-Cre-1,AAV2/1.FLEX-tdTomato,tdTomato,AA0301.swc,907.0,PCN,,907.0,PCN
296,AA0065,10.25378/janelia.5521801,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0065.swc,767.0,MOs5,5,993.0,MOs
297,AA0665,10.25378/janelia.7658252,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0665.swc,320.0,MOp1,,320.0,MOp1
298,AA1056,10.25378/janelia.7825139,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1056.swc,445.0,SPVO,,445.0,SPVO
299,AA0036,10.25378/janelia.5521696,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0036.swc,767.0,MOs5,5,993.0,MOs
300,AA1075,10.25378/janelia.7825259,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1075.swc,101.0,VCO,,101.0,VCO
301,AA0238,10.25378/janelia.5527633,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0238.swc,211.0,ACAd2/3,2/3,39.0,ACAd
302,AA0105,10.25378/janelia.5526694,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0105.swc,1021.0,MOs6a,6a,993.0,MOs
303,AA1015,10.25378/janelia.7822034,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1015.swc,1007.0,SIM,,1007.0,SIM
304,AA0140,10.25378/janelia.5527297,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0140.swc,1021.0,MOs6a,6a,993.0,MOs
305,AA0014,10.25378/janelia.5521624,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0014.swc,962.0,MOs2/3,2/3,993.0,MOs
306,AA0844,10.25378/janelia.7739921,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0844.swc,919.0,ACAd6a,6a,39.0,ACAd
307,AA0833,10.25378/janelia.7739795,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0833.swc,1021.0,MOs6a,6a,993.0,MOs
308,AA0355,10.25378/janelia.7613831,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0355.swc,629.0,VAL,,629.0,VAL
309,AA0203,10.25378/janelia.5527519,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0203.swc,1084.0,PRE,,1084.0,PRE
310,AA0310,10.25378/janelia.7613411,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/5 Cre + GFP,eGFP,AA0310.swc,733.0,VPM,,733.0,VPM
311,AA0188,10.25378/janelia.5527468,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0188.swc,767.0,MOs5,5,993.0,MOs
312,AA0778,10.25378/janelia.7710131,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0778.swc,810.0,ACAv6a,,810.0,ACAv6a
313,AA0398,10.25378/janelia.7614116,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0398.swc,1021.0,MOs6a,6a,993.0,MOs
314,AA1101,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1101.swc,356.0,PST,,356.0,PST
315,AA0848,10.25378/janelia.7739933,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0848.swc,502.0,SUB,,502.0,SUB
316,AA0688,10.25378/janelia.7704281,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0688.swc,502.0,SUB,,502.0,SUB
317,AA1021,10.25378/janelia.7822061,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1021.swc,728.0,arb,,728.0,arb
318,AA0963,10.25378/janelia.7804376,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0963.swc,1049.0,FL,,1049.0,FL
319,AA0653,10.25378/janelia.7658153,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0653.swc,656.0,MOs1,1,993.0,MOs
320,AA0644,10.25378/janelia.7658108,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0644.swc,767.0,MOs5,5,993.0,MOs
321,AA0845,10.25378/janelia.7739924,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0845.swc,772.0,ACAv5,5,48.0,ACAv
322,AA1220,n/a,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1220.swc,470.0,STN,,470.0,STN
323,AA0110,10.25378/janelia.5526712,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0110.swc,1021.0,MOs6a,6a,993.0,MOs
324,AA0664,10.25378/janelia.7658249,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0664.swc,767.0,MOs5,5,993.0,MOs
325,AA1547,n/a,2021-06-06T04:00:00.000Z,Vglut1-cre,virus not found,GFP,AA1547.swc,733.0,VPM,,733.0,VPM
326,AA0074,10.25378/janelia.5521804,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0074.swc,599.0,CM,,599.0,CM
327,AA0483,10.25378/janelia.7616000,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0483.swc,1084.0,PRE,,1084.0,PRE
328,AA0918,10.25378/janelia.7780904,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0918.swc,255.0,AV,,255.0,AV
329,AA1084,10.25378/janelia.7825322,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1084.swc,429.0,SPVC,,429.0,SPVC
330,AA0807,10.25378/janelia.7739642,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0807.swc,211.0,ACAd2/3,2/3,39.0,ACAd
331,AA0967,10.25378/janelia.7804397,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0967.swc,1033.0,COPY,,1033.0,COPY
332,AA0673,10.25378/janelia.7704209,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0673.swc,320.0,MOp1,,320.0,MOp1
333,AA1008,10.25378/janelia.7822004,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1008.swc,574.0,TRN,,574.0,TRN
334,AA0345,10.25378/janelia.7613783,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0345.swc,629.0,VAL,,629.0,VAL
335,AA0972,10.25378/janelia.7804427,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0972.swc,976.0,CENT2,,976.0,CENT2
336,AA0391,10.25378/janelia.7614080,2017-09-25T17:59:45.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0391.swc,629.0,VAL,,629.0,VAL
337,AA0166,10.25378/janelia.5527396,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0166.swc,10703.0,DG-mo,,10703.0,DG-mo
338,AA1048,10.25378/janelia.7822319,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1048.swc,732.0,MMme,,732.0,MMme
339,AA0116,10.25378/janelia.5526727,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0116.swc,962.0,MOs2/3,2/3,993.0,MOs
340,AA0516,10.25378/janelia.7639826,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0516.swc,225.0,SPIV,,225.0,SPIV
341,AA0256,10.25378/janelia.5527699,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0256.swc,1084.0,PRE,,1084.0,PRE
342,AA0676,10.25378/janelia.7704221,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0676.swc,484682520.0,or,,484682520.0,or
343,AA0331,10.25378/janelia.7613672,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/5 Cre + GFP,eGFP,AA0331.swc,629.0,VAL,,629.0,VAL
344,AA0454,10.25378/janelia.7615388,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0454.swc,1084.0,PRE,,1084.0,PRE
345,AA1286,n/a,2019-05-27T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488,AA1286.swc,821.0,VISp2/3,2/3,385.0,VISp
346,AA0164,10.25378/janelia.5527390,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/5.FLEX-eGFP,eGFP,AA0164.swc,685.0,VM,,685.0,VM
347,AA0327,10.25378/janelia.7613498,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0327.swc,767.0,MOs5,5,993.0,MOs
348,AA0244,10.25378/janelia.5527654,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0244.swc,1084.0,PRE,,1084.0,PRE
349,AA0006,10.25378/janelia.5520223,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0006.swc,943.0,MOp2/3,,943.0,MOp2/3
350,AA0195,10.25378/janelia.5527492,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0195.swc,502.0,SUB,,502.0,SUB
351,AA0343,10.25378/janelia.7613768,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0343.swc,1020.0,PO,,1020.0,PO
352,AA0529,10.25378/janelia.7639877,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0529.swc,1084.0,PRE,,1084.0,PRE
353,AA0473,10.25378/janelia.7615961,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0473.swc,1021.0,MOs6a,6a,993.0,MOs
354,AA0184,10.25378/janelia.5527453,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0184.swc,767.0,MOs5,5,993.0,MOs
355,AA0520,10.25378/janelia.7639838,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0520.swc,155.0,LD,,155.0,LD
356,AA0495,10.25378/janelia.7616057,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0495.swc,502.0,SUB,,502.0,SUB
357,AA1039,10.25378/janelia.7822277,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1039.swc,606826659.0,MMd,,606826659.0,MMd
358,AA0400,10.25378/janelia.7614122,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0400.swc,767.0,MOs5,5,993.0,MOs
359,AA0227,10.25378/janelia.5527594,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0227.swc,443.0,dhc,,443.0,dhc
360,AA1024,10.25378/janelia.7822088,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1024.swc,1056.0,ANcr1,,1056.0,ANcr1
361,AA0912,10.25378/janelia.7780877,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0912.swc,1037.0,POST,,1037.0,POST
362,AA1045,10.25378/janelia.7822310,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1045.swc,687.0,RSPv5,5,886.0,RSPv
363,AA1043,10.25378/janelia.7822304,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1043.swc,844.0,MOp6a,,844.0,MOp6a
364,AA1179,n/a,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1179.swc,718.0,VPL,,718.0,VPL
365,AA1057,10.25378/janelia.7825142,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1057.swc,931.0,PG,,931.0,PG
366,AA1055,10.25378/janelia.7825136,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1055.swc,771.0,P,,771.0,P
367,AA0192,10.25378/janelia.5527480,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0192.swc,10703.0,DG-mo,,10703.0,DG-mo
368,AA0608,10.25378/janelia.7650065,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0608.swc,194.0,LHA,,194.0,LHA
369,AA0380,10.25378/janelia.7614011,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0380.swc,502.0,SUB,,502.0,SUB
370,AA0010,10.25378/janelia.5521600,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0010.swc,767.0,MOs5,5,993.0,MOs
371,AA0431,10.25378/janelia.7614287,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0431.swc,354.0,MY,,354.0,MY
372,AA0945,10.25378/janelia.7804034,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0945.swc,1070.0,SSp-bfd5,5,329.0,SSp-bfd
373,AA0955,10.25378/janelia.7804082,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0955.swc,19.0,IG,,19.0,IG
374,AA0366,10.25378/janelia.7613906,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0366.swc,629.0,VAL,,629.0,VAL
375,AA0579,10.25378/janelia.7649861,2018-04-03T15:08:17.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0579.swc,629.0,VAL,,629.0,VAL
376,AA0222,10.25378/janelia.5527576,2017-05-04T21:26:28.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0222.swc,946.0,PH,,946.0,PH
377,AA0323,10.25378/janelia.7613477,2017-09-11T18:52:55.000Z,C57BL/6J,AAV 2/1 Cre + GFP,eGFP,AA0323.swc,440.0,ORBl6a,6a,723.0,ORBl
378,AA0817,10.25378/janelia.7739717,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0817.swc,767.0,MOs5,5,993.0,MOs
379,AA0078,10.25378/janelia.5521843,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0078.swc,382.0,CA1,,382.0,CA1
380,AA0574,10.25378/janelia.7649843,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0574.swc,443.0,dhc,,443.0,dhc
381,AA0561,10.25378/janelia.7649471,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1.Cre-tdTomato,tdTomato,AA0561.swc,10703.0,DG-mo,,10703.0,DG-mo
382,AA0736,10.25378/janelia.7707311,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0736.swc,382.0,CA1,,382.0,CA1
